Periodo,Campus,NRC,Facultad ,Departamento,Parte pdo,Lista cruzada,Materia,Secc,Nivel materia,Modo calificación,Estatus secc,Créditos,Nombre largo curso,Cupo,Inscritos,Cupo disponible,Indicador de sesión,Profesor(es),Tipo horario (franja),Fecha inicio,Fecha fin,Hora inicio,Hora fin,Edificio,Salón,Capacidad salón,Atributo salón,Descripción atributo salón,Atributo curso,Atributo sección,Lunes,Martes,Miercoles,Jueves,Viernes,Sábado,Domingo,Censo 1,Fecha de censo 1,Censo 2,Fecha de censo 2
202510,CAMPUS PRINCIPAL,10221.0,INGENIERÍA,INGENIERIA INDUSTRIAL,9,,IIND-2070,1,PREGRADO,ESTANDAR NUMERICO 1.5-5.0,ACTIVA,0.0,MONITORIA DE INGENIERIA INDUSTRIAL,0.0,111.0,-111.0,1.0,(01) JORGE ENRIQUE MARTINEZ ALGARRA(Y),NO DECLARADO,2025-01-21,2025-05-24,,,NOREQ,NOREQ,999.0,,,,,,,,,,,,0.0,2025-03-10,111.0,2025-04-21
202510,CAMPUS PRINCIPAL,10222.0,INGENIERÍA,INGENIERIA INDUSTRIAL,9,,IIND-2071,2,PREGRADO,ESTANDAR NUMERICO 1.5-5.0,ACTIVA,0.0,MONITORIA DE INGENIERIA INDUSTRIAL,0.0,30.0,-30.0,1.0,(01) JORGE ENRIQUE MARTINEZ ALGARRA(Y),NO DECLARADO,2025-01-21,2025-05-24,,,NOREQ,NOREQ,999.0,,,,,,,,,,,,0.0,2025-03-10,30.0,2025-04-21
202510,CAMPUS PRINCIPAL,10418.0,INGENIERÍA,INGENIERIA MECANICA,1,,IMEC-1000,A,PREGRADO,ESTANDAR NUMERICO 1.5-5.0,ACTIVA,3.0,INTRODUCCION A LA INGENIERIA MECANICA (EPSI),86.0,63.0,23.0,1.0,(01) ANDRES LEONARDO GONZALEZ MANCERA(Y),MAGISTRAL,2025-01-21,2025-05-24,1230.0,1350.0,O,O_102,121.0,,,,EPSI-CURSO EPSILON,,M,,J,,,,65.0,2025-03-10,65.0,2025-04-21
202510,CAMPUS PRINCIPAL,10450.0,INGENIERÍA,INGEN. ELECTRICA Y ELECTRONICA,2,,IELE-3001,1,PREGRADO,ESTANDAR NUMERICO 1.5-5.0,ACTIVA,3.0,PROYECTO DE GRADO INGENIERÍA ELECTRICA,0.0,11.0,-11.0,1.0,(01) MAURICIO  GUERRERO HURTADO(Y),PROYECTO DE GRADO,2025-01-21,2025-05-24,,,,,,,,,,,,,,,,,11.0,2025-03-10,11.0,2025-04-21
202510,CAMPUS PRINCIPAL,10451.0,INGENIERÍA,INGEN. ELECTRICA Y ELECTRONICA,2,,IELE-3002,1,PREGRADO,ESTANDAR NUMERICO 1.5-5.0,ACTIVA,3.0,PROYECTO DE GRADO INGENIERÍA ELECTRONICA,0.0,23.0,-23.0,1.0,(01) MAURICIO  GUERRERO HURTADO(Y),PROYECTO DE GRADO,2025-01-21,2025-05-24,,,,,,,,,,,,,,,,,25.0,2025-03-10,25.0,2025-04-21
202510,CAMPUS PRINCIPAL,10499.0,INGENIERÍA,INGENIERIA INDUSTRIAL,1,,IIND-2202,1,PREGRADO,ESTANDAR NUMERICO 1.5-5.0,ACTIVA,3.0,FUNDAMENTOS DE PRODUCCION,40.0,20.0,20.0,1.0,(01) ILMER ANDREY CAÑON DIAZ(Y),MAGISTRAL,2025-01-21,2025-05-24,630.0,750.0,SD,SD_716,65.0,EXPR,Salón con móvil express,,,,,I,,V,,,21.0,2025-03-10,21.0,2025-04-21
202510,CAMPUS PRINCIPAL,10500.0,INGENIERÍA,INGENIERIA INDUSTRIAL,1,,IIND-2202,2,PREGRADO,ESTANDAR NUMERICO 1.5-5.0,ACTIVA,3.0,FUNDAMENTOS DE PRODUCCION,40.0,11.0,29.0,1.0,(01) MARTHA CONCEPCION CORREDOR ROJAS(Y),MAGISTRAL,2025-01-21,2025-05-24,1400.0,1520.0,ML,ML_512,60.0,EXPR,Salón con móvil express,,,,M,,J,,,,11.0,2025-03-10,12.0,2025-04-21
202510,CAMPUS PRINCIPAL,10510.0,INGENIERÍA,INGEN. ELECTRICA Y ELECTRONICA,2,,IELE-4021,1,MAGISTER,ESTANDAR NUMERICO 1.5-5.0,ACTIVA,8.0,TESIS II MAESTRÍA EN INGENIERÍA ELÉCTRICA,8.0,9.0,-1.0,1.0,(01) MAURICIO  GUERRERO HURTADO(Y),PROYECTO DE GRADO,2025-01-21,2025-05-24,,,NOREQ,NOREQ,999.0,,,,,,,,,,,,9.0,2025-03-10,9.0,2025-04-21
202510,CAMPUS PRINCIPAL,10546.0,INGENIERÍA,INGENIERIA INDUSTRIAL,1,,IIND-2400,4,PREGRADO,ESTANDAR NUMERICO 1.5-5.0,ACTIVA,3.0,SISTEMAS DE CONTROL GERENCIAL,68.0,63.0,5.0,1.0,(01) ANDREA YOHANA CORTES MOJICA(Y),TEORICA,2025-01-21,2025-05-24,800.0,920.0,SD,SD_807,82.0,EXPR,Salón con móvil express,,,,M,,J,,,,67.0,2025-03-10,63.0,2025-04-21
202510,CAMPUS PRINCIPAL,10555.0,INGENIERÍA,INGEN. ELECTRICA Y ELECTRONICA,2,,IELE-4020,1,MAGISTER,APROBADO/REPROBADO,ACTIVA,4.0,TESIS I MAESTRÍA EN INGENIERÍA ELÉCTRICA,0.0,6.0,-6.0,1.0,(01) MAURICIO  GUERRERO HURTADO(Y),PROYECTO DE GRADO,2025-01-21,2025-05-24,,,NOREQ,NOREQ,999.0,,,,,,,,,,,,6.0,2025-03-10,6.0,2025-04-21
202510,CAMPUS PRINCIPAL,10586.0,INGENIERÍA,INGENIERIA INDUSTRIAL,1,IIND_001,IIND-3006,1,PREGRADO,ESTANDAR NUMERICO 1.5-5.0,ACTIVA,3.0,PROY.INTER.CONSULT.EMPRESARIAL,25.0,24.0,1.0,1.0,(01) SOFIA VALENTINA CASTRO TORRES(Y) | (01) NOE SEBASTIAN MEDINA MUÑOZ | (01) CAMILO HERNANDO GOMEZ CASTRO | (01) RAFAEL  AMAYA GOMEZ,TEORICA,2025-01-21,2025-05-24,1530.0,1820.0,ML,ML_608,117.0,,,,,,,I,,,,,24.0,2025-03-10,24.0,2025-04-21
202510,CAMPUS PRINCIPAL,10693.0,INGENIERÍA,INGEN. ELECTRICA Y ELECTRONICA,1,,IELE-4011,1,MAGISTER,ESTANDAR NUMERICO 1.5-5.0,ACTIVA,4.0,OPTIMIZACIÓN,36.0,19.0,17.0,1.0,(01) JORGE ALFREDO LOPEZ JIMENEZ(Y),TEORICA,2025-01-21,2025-05-24,1530.0,1650.0,ML,ML_604,81.0,EXPR,Salón con móvil express,,,,M,,J,,,,20.0,2025-03-10,20.0,2025-04-21
202510,CAMPUS PRINCIPAL,10703.0,INGENIERÍA,INGENIERIA INDUSTRIAL,1,,IIND-2106,A,PREGRADO,ESTANDAR NUMERICO 1.5-5.0,ACTIVA,3.0,PROBABILIDAD Y ESTADÍSTICA I,56.0,52.0,4.0,1.0,(01) NICOLE  RAMIREZ RAMIREZ(Y),MAGISTRAL,2025-01-21,2025-05-24,800.0,920.0,SD,SD_715,65.0,EXPR,Salón con móvil express,,,,M,,J,,,,55.0,2025-03-10,53.0,2025-04-21
202510,CAMPUS PRINCIPAL,10725.0,INGENIERÍA,INGENIERIA INDUSTRIAL,1,,IIND-2103,A,PREGRADO,ESTANDAR NUMERICO 1.5-5.0,ACTIVA,3.0,PRINCIPIOS DE OPTIMIZACION,35.0,31.0,4.0,1.0,(01) SOFIA VALENTINA CASTRO TORRES(Y),MAGISTRAL,2025-01-21,2025-05-24,630.0,750.0,SD,SD_804,82.0,,,,,,M,,J,,,,32.0,2025-03-10,31.0,2025-04-21
202510,CAMPUS PRINCIPAL,10727.0,INGENIERÍA,INGENIERIA INDUSTRIAL,1,,IIND-2103,C,PREGRADO,ESTANDAR NUMERICO 1.5-5.0,ACTIVA,3.0,PRINCIPIOS DE OPTIMIZACION,35.0,28.0,7.0,1.0,(01) CAMILO HERNANDO GOMEZ CASTRO(Y),MAGISTRAL,2025-01-21,2025-05-24,930.0,1050.0,RGD,RGD_07,40.0,,,,,,,I,,V,,,29.0,2025-03-10,28.0,2025-04-21
202510,CAMPUS PRINCIPAL,10728.0,INGENIERÍA,INGENIERIA INDUSTRIAL,1,,IIND-2103,D,PREGRADO,ESTANDAR NUMERICO 1.5-5.0,ACTIVA,3.0,PRINCIPIOS DE OPTIMIZACION,35.0,32.0,3.0,1.0,(01) SOFIA VALENTINA CASTRO TORRES(Y),MAGISTRAL,2025-01-21,2025-05-24,1100.0,1220.0,RGD,RGD_01,40.0,,,,,,,I,,V,,,33.0,2025-03-10,32.0,2025-04-21
202510,CAMPUS PRINCIPAL,10740.0,INGENIERÍA,INGENIERIA INDUSTRIAL,1,,IIND-2201,A,PREGRADO,ESTANDAR NUMERICO 1.5-5.0,ACTIVA,3.0,CONTROL DE PRODUCCION,45.0,27.0,18.0,1.0,(01) JOSE FIDEL TORRES DELGADO(Y),MAGISTRAL,2025-01-21,2025-05-24,930.0,1050.0,ML,ML_512,60.0,EXPR,Salón con móvil express,,,,,I,,V,,,28.0,2025-03-10,27.0,2025-04-21
202510,CAMPUS PRINCIPAL,10742.0,INGENIERÍA,INGENIERIA INDUSTRIAL,1,,IIND-2201,B,PREGRADO,ESTANDAR NUMERICO 1.5-5.0,ACTIVA,3.0,CONTROL DE PRODUCCION,49.0,46.0,3.0,1.0,(01) LUIS ENRIQUE TARAZONA TORRES(Y),MAGISTRAL,2025-01-21,2025-05-24,1100.0,1220.0,RGD,RGD_201,60.0,EXPR,Salón con móvil express,,,,M,,J,,,,48.0,2025-03-10,46.0,2025-04-21
202510,CAMPUS PRINCIPAL,10752.0,INGENIERÍA,INGENIERIA INDUSTRIAL,1,,IIND-3400,1,PREGRADO,ESTANDAR NUMERICO 1.5-5.0,ACTIVA,3.0,FINANZAS,97.0,96.0,1.0,1.0,(01) JULIO ERNESTO VILLARREAL NAVARRO(Y),TEORICA,2025-01-21,2025-05-24,930.0,1050.0,RGD,RGD_004,156.0,FAES,Fácil acceso estudiante,,,,M,,J,,,,97.0,2025-03-10,96.0,2025-04-21
202510,CAMPUS PRINCIPAL,10756.0,INGENIERÍA,INGENIERIA INDUSTRIAL,1,,IIND-2301,A,PREGRADO,ESTANDAR NUMERICO 1.5-5.0,ACTIVA,3.0,DINAMICA DE SISTEMAS,50.0,45.0,5.0,1.0,(01) CAMILO ENRIQUE OLAYA NIETO(Y),MAGISTRAL,2025-01-21,2025-05-24,1100.0,1220.0,SD,SD_715,65.0,EXPR,Salón con móvil express,,,,M,,J,,,,50.0,2025-03-10,45.0,2025-04-21
202510,CAMPUS PRINCIPAL,10757.0,INGENIERÍA,INGENIERIA INDUSTRIAL,1,,IIND-2301,B,PREGRADO,ESTANDAR NUMERICO 1.5-5.0,ACTIVA,3.0,DINAMICA DE SISTEMAS,56.0,54.0,2.0,1.0,(01) ANDREA CATALINA NAVARRETE PADILLA(Y),MAGISTRAL,2025-01-21,2025-05-24,930.0,1050.0,SD,SD_715,65.0,EXPR,Salón con móvil express,,,,M,,J,,,,56.0,2025-03-10,54.0,2025-04-21
202510,CAMPUS PRINCIPAL,10761.0,INGENIERÍA,INGENIERIA INDUSTRIAL,1,,IIND-2104,B,PREGRADO,ESTANDAR NUMERICO 1.5-5.0,ACTIVA,3.0,MODELOS PROBABILISTICOS,38.0,28.0,10.0,1.0,(01) JUAN FERNANDO PEREZ BERNAL(Y),MAGISTRAL,2025-01-21,2025-05-24,800.0,920.0,SD,SD_205-6,52.0,MMOV,Salón sillas y mesas movibles,,,,M,,J,,,,32.0,2025-03-10,28.0,2025-04-21
202510,CAMPUS PRINCIPAL,10764.0,INGENIERÍA,INGENIERIA INDUSTRIAL,1,,IIND-2104,A,PREGRADO,ESTANDAR NUMERICO 1.5-5.0,ACTIVA,3.0,MODELOS PROBABILISTICOS,38.0,32.0,6.0,1.0,(01) PABLO JOSE CORTES SANABRIA(Y),MAGISTRAL,2025-01-21,2025-05-24,630.0,750.0,SD,SD_205-6,52.0,MMOV,Salón sillas y mesas movibles,,,,M,,J,,,,37.0,2025-03-10,32.0,2025-04-21
202510,CAMPUS PRINCIPAL,10765.0,INGENIERÍA,INGENIERIA INDUSTRIAL,1,,IIND-2302,A,PREGRADO,ESTANDAR NUMERICO 1.5-5.0,ACTIVA,3.0,PENSAMIENTO SISTEMICO EN LAS ORGANIZACIONES (EPSI),40.0,32.0,8.0,1.0,(01) JUAN DANIEL ALVAREZ CADENA(Y),MAGISTRAL,2025-01-21,2025-05-24,800.0,920.0,RGD,RGD_106-7,80.0,MMOV,Salón sillas y mesas movibles,,EPSI-CURSO EPSILON,L,,I,,,,,32.0,2025-03-10,32.0,2025-04-21
202510,CAMPUS PRINCIPAL,10774.0,INGENIERÍA,INGENIERIA INDUSTRIAL,1,,IIND-2106,B,PREGRADO,ESTANDAR NUMERICO 1.5-5.0,ACTIVA,3.0,PROBABILIDAD Y ESTADÍSTICA I,55.0,52.0,3.0,1.0,(01) MAURICIO RICARDO DELGADO QUINTERO(Y),MAGISTRAL,2025-01-21,2025-05-24,930.0,1050.0,ML,ML_510,60.0,EXPR,Salón con móvil express,,,,M,,J,,,,54.0,2025-03-10,52.0,2025-04-21
202510,CAMPUS PRINCIPAL,10781.0,INGENIERÍA,INGENIERIA INDUSTRIAL,1,,IIND-2106,F,PREGRADO,ESTANDAR NUMERICO 1.5-5.0,ACTIVA,3.0,PROBABILIDAD Y ESTADÍSTICA I,50.0,32.0,18.0,1.0,(01) NELSON LEONARDO LAMMOGLIA HOYOS(Y),MAGISTRAL,2025-01-21,2025-05-24,1400.0,1520.0,ML,ML_511,60.0,EXPR,Salón con móvil express,,,,M,,J,,,,32.0,2025-03-10,32.0,2025-04-21
202510,CAMPUS PRINCIPAL,10797.0,INGENIERÍA,INGENIERIA INDUSTRIAL,1,,IIND-2104,D,PREGRADO,ESTANDAR NUMERICO 1.5-5.0,ACTIVA,3.0,MODELOS PROBABILISTICOS,38.0,24.0,14.0,1.0,(01) PABLO ALEXANDER MEDINA SANCHEZ(Y),MAGISTRAL,2025-01-21,2025-05-24,1400.0,1520.0,RGD,RGD_212-13,80.0,MMOV,Salón sillas y mesas movibles,,,,,I,,V,,,30.0,2025-03-10,24.0,2025-04-21
202510,CAMPUS PRINCIPAL,10798.0,INGENIERÍA,INGENIERIA INDUSTRIAL,1,,IIND-2106,C,PREGRADO,ESTANDAR NUMERICO 1.5-5.0,ACTIVA,3.0,PROBABILIDAD Y ESTADÍSTICA I,57.0,54.0,3.0,1.0,(01) NICOLE  RAMIREZ RAMIREZ(Y),MAGISTRAL,2025-01-21,2025-05-24,1100.0,1220.0,ML,ML_511,60.0,EXPR,Salón con móvil express,,,,M,,J,,,,56.0,2025-03-10,54.0,2025-04-21
202510,CAMPUS PRINCIPAL,10799.0,INGENIERÍA,INGENIERIA INDUSTRIAL,1,,IIND-2301,C,PREGRADO,ESTANDAR NUMERICO 1.5-5.0,ACTIVA,3.0,DINAMICA DE SISTEMAS,52.0,35.0,17.0,1.0,(01) LAURA  GUZMAN ABELLO(Y),MAGISTRAL,2025-01-21,2025-05-24,1400.0,1520.0,SD,SD_716,65.0,EXPR,Salón con móvil express,,,,M,,J,,,,36.0,2025-03-10,35.0,2025-04-21
202510,CAMPUS PRINCIPAL,10834.0,INGENIERÍA,INGEN. ELECTRICA Y ELECTRONICA,1,,IELE-2002,A,PREGRADO,ESTANDAR NUMERICO 1.5-5.0,ACTIVA,3.0,TEORÍA ELECTROMAGNÉTICA,56.0,50.0,6.0,1.0,(01) FELIPE  FORERO RODRIGUEZ(Y),TEORICA,2025-01-21,2025-05-24,1530.0,1650.0,W,W_404,79.0,,,,,,M,,J,,,,51.0,2025-03-10,51.0,2025-04-21
202510,CAMPUS PRINCIPAL,10836.0,INGENIERÍA,INGEN. ELECTRICA Y ELECTRONICA,1,,IELE-3006,A,PREGRADO,ESTANDAR NUMERICO 1.5-5.0,ACTIVA,3.0,OPTIMIZACION,30.0,28.0,2.0,1.0,(01) FERNANDO ENRIQUE LOZANO MARTINEZ(Y),TEORICA,2025-01-21,2025-05-24,930.0,1050.0,AU,AU_403,36.0,,,,,,M,,J,,,,34.0,2025-03-10,28.0,2025-04-21
202510,CAMPUS PRINCIPAL,10838.0,INGENIERÍA,INGENIERIA DE SISTEMAS Y COMPU,1,ISIS_001,ISIS-1001,1,PREGRADO,ESTANDAR NUMERICO 1.5-5.0,ACTIVA,3.0,INTRODUCCION A LA INGENIERIA DE SISTEMAS,33.0,25.0,8.0,1.0,(01) ANDRES FELIPE HERNANDEZ LEON(Y),TEORICA,2025-01-21,2025-05-24,630.0,750.0,RGD,RGD_001,40.0,,,,,,M,I,,,,,27.0,2025-03-10,28.0,2025-04-21
202510,CAMPUS PRINCIPAL,10838.0,INGENIERÍA,INGENIERIA DE SISTEMAS Y COMPU,1,ISIS_001,ISIS-1001,1,PREGRADO,ESTANDAR NUMERICO 1.5-5.0,ACTIVA,3.0,INTRODUCCION A LA INGENIERIA DE SISTEMAS,33.0,25.0,8.0,2.0,(02) JUAN PABLO FERNANDEZ RAMIREZ | (02) NATALIA  FRANCO TAMARA,TEORICA,2025-01-21,2025-05-24,930.0,1050.0,R,R_209,192.0,,,,,L,,,,,,,27.0,2025-03-10,28.0,2025-04-21
202510,CAMPUS PRINCIPAL,10874.0,INGENIERÍA,INGENIERIA INDUSTRIAL,1,,IIND-2107,1,PREGRADO,ESTANDAR NUMERICO 1.5-5.0,ACTIVA,3.0,PROBABILIDAD Y ESTADISTICA II,38.0,37.0,1.0,1.0,(01) CARLOS DARIO VALENCIA GONZALEZ(Y),MAGISTRAL,2025-01-21,2025-05-24,930.0,1050.0,ML,ML_516,50.0,EXPR,Salón con móvil express,,,,,I,,V,,,38.0,2025-03-10,37.0,2025-04-21
202510,CAMPUS PRINCIPAL,10875.0,INGENIERÍA,INGENIERIA INDUSTRIAL,1,,IIND-2107,2,PREGRADO,ESTANDAR NUMERICO 1.5-5.0,ACTIVA,3.0,PROBABILIDAD Y ESTADISTICA II,38.0,24.0,14.0,1.0,(01) CARLOS FELIPE VALENCIA ARBOLEDA(Y),MAGISTRAL,2025-01-21,2025-05-24,1100.0,1220.0,RGD,RGD_203,60.0,EXPR,Salón con móvil express,,,,,I,,V,,,28.0,2025-03-10,24.0,2025-04-21
202510,CAMPUS PRINCIPAL,10876.0,INGENIERÍA,INGENIERIA INDUSTRIAL,1,,IIND-2201,C,PREGRADO,ESTANDAR NUMERICO 1.5-5.0,ACTIVA,3.0,CONTROL DE PRODUCCION,45.0,32.0,13.0,1.0,(01) JOHANA MILENA MARTINEZ CONTRERAS(Y),MAGISTRAL,2025-01-21,2025-05-24,930.0,1050.0,SD,SD_807,82.0,EXPR,Salón con móvil express,,,,M,,J,,,,32.0,2025-03-10,32.0,2025-04-21
202510,CAMPUS PRINCIPAL,10895.0,INGENIERÍA,INGENIERIA INDUSTRIAL,1,,IIND-2106,D,PREGRADO,ESTANDAR NUMERICO 1.5-5.0,ACTIVA,3.0,PROBABILIDAD Y ESTADÍSTICA I,55.0,52.0,3.0,1.0,(01) JIMMY SANTIAGO CASTRO VILLARREAL(Y),MAGISTRAL,2025-01-21,2025-05-24,1400.0,1520.0,ML,ML_510,60.0,EXPR,Salón con móvil express,,,,M,,J,,,,55.0,2025-03-10,52.0,2025-04-21
202510,CAMPUS PRINCIPAL,10931.0,INGENIERÍA,INGEN. ELECTRICA Y ELECTRONICA,1,,IELE-2300,A,PREGRADO,ESTANDAR NUMERICO 1.5-5.0,ACTIVA,3.0,ANÁLISIS DE SISTEMAS DE CONTROL,58.0,47.0,11.0,1.0,(01) NICANOR  QUIJANO SILVA(Y),TEORICA,2025-01-21,2025-05-24,800.0,920.0,ML,ML_512,60.0,EXPR,Salón con móvil express,,,,,I,,V,,,50.0,2025-03-10,47.0,2025-04-21
202510,CAMPUS PRINCIPAL,10932.0,INGENIERÍA,INGEN. ELECTRICA Y ELECTRONICA,1,,IELE-3200,A,PREGRADO,ESTANDAR NUMERICO 1.5-5.0,ACTIVA,3.0,ELECTRÓNICA ANÁLOGA,34.0,29.0,5.0,1.0,(01) JOHANN FACCELO OSMA CRUZ(Y),TEORICA,2025-01-21,2025-03-14,800.0,920.0,Q,Q_306,48.0,,,,,,,I,,V,,,30.0,2025-03-10,29.0,2025-04-21
202510,CAMPUS PRINCIPAL,10932.0,INGENIERÍA,INGEN. ELECTRICA Y ELECTRONICA,1,,IELE-3200,A,PREGRADO,ESTANDAR NUMERICO 1.5-5.0,ACTIVA,3.0,ELECTRÓNICA ANÁLOGA,34.0,29.0,5.0,1.0,(01) JOHANN FACCELO OSMA CRUZ(Y),TEORICA,2025-03-26,2025-05-24,800.0,920.0,AU,AU_107,36.0,FAES,Fácil acceso estudiante,,,,,I,,,,,30.0,2025-03-10,29.0,2025-04-21
202510,CAMPUS PRINCIPAL,10932.0,INGENIERÍA,INGEN. ELECTRICA Y ELECTRONICA,1,,IELE-3200,A,PREGRADO,ESTANDAR NUMERICO 1.5-5.0,ACTIVA,3.0,ELECTRÓNICA ANÁLOGA,34.0,29.0,5.0,1.0,(01) JOHANN FACCELO OSMA CRUZ(Y),TEORICA,2025-03-28,2025-05-24,800.0,920.0,AU,AU_101,36.0,FAES,Fácil acceso estudiante,,,,,,,V,,,30.0,2025-03-10,29.0,2025-04-21
202510,CAMPUS PRINCIPAL,10968.0,INGENIERÍA,INGEN. ELECTRICA Y ELECTRONICA,1,,IELE-2300,B,PREGRADO,ESTANDAR NUMERICO 1.5-5.0,ACTIVA,3.0,ANÁLISIS DE SISTEMAS DE CONTROL,58.0,49.0,9.0,1.0,(01) NICANOR  QUIJANO SILVA(Y),TEORICA,2025-01-21,2025-05-24,1100.0,1220.0,SD,SD_715,65.0,EXPR,Salón con móvil express,,,,,I,,V,,,58.0,2025-03-10,50.0,2025-04-21
